No.,Domain,Title,Description,Utilitarianism,Deontology,Virtue Ethics,Care Ethics,Sources
1,Healthcare,Ventilator allocation during a surge,"A hospital has fewer ventilators than patients who need them. Some are more likely to survive with treatment, while others have waited longer or are more seriously ill. A triage team must choose whether to prioritize expected survival or give equal chances among eligible patients.","Survival differences matter when one machine cannot serve everyone. Directing ventilators toward patients most likely to recover preserves more lives from the same scarce resource. When prognoses are genuinely similar, a lottery avoids wasting effort on distinctions that change no outcome.","Scarcity does not erase equal moral status. Criteria may consider medical need and whether treatment can work, but not social worth. Patients with comparable clinical claims should receive the same chance rather than being ranked by whose life appears more valuable.","Scarcity puts judgment under public pressure. A hospital that hides subjective preference behind clinical language loses integrity. A sound team uses prognosis where it truly matters, admits uncertainty openly, and refuses to let panic turn difficult choices into favoritism.","Being denied ventilation does not end a patient's claim on the hospital. Communication, symptom relief, and family contact should continue for those without the machine. A defensible triage process leaves the bonds of care intact even while scarce resources are distributed unequally.","Emanuel EJ et al. (2020), “Fair Allocation of Scarce Medical Resources in the Time of Covid-19,” New England Journal of Medicine. https://pubmed.ncbi.nlm.nih.gov/32202722/"
2,Healthcare,ICU priority and vaccination status,"An intensive care unit is full during an infectious disease surge. Two patients need the next bed and have similar clinical prospects, but one declined a widely available preventive vaccine. The triage team must decide whether that earlier choice should reduce the unvaccinated patient's priority.","Earlier refusal matters only through its effects now. Giving some priority to the vaccinated patient can protect incentives, reward risk reduction, and reduce future pressure on scarce beds. With otherwise similar prospects, those wider consequences support modestly lower priority for voluntary nonvaccination.","Emergency treatment is not a reward for previous obedience. Once two patients have comparable medical claims, lowering one person's priority because of a past refusal turns care into punishment. Allocation should rely on present clinical criteria, not moral judgment about earlier choices.",Past refusal can easily become a reason for moral contempt. A hospital that lets resentment shape rescue becomes punitive rather than clinical. Prevention can be promoted firmly beforehand without allowing dislike of earlier choices to decide who receives care during crisis.,"Once illness brings someone into intensive care, the earlier vaccine decision sits inside a new relation of dependence and need. That history may shape conversation, but equal bedside concern should remain unless treating one patient would directly endanger another.","Shaw D. (2022), “Vaccination status and intensive care unit triage: Is it fair to give unvaccinated Covid-19 patients equal priority?” Bioethics. https://pmc.ncbi.nlm.nih.gov/articles/PMC9538027/"
3,Healthcare,Withholding a terminal diagnosis,A physician learns that a patient has a terminal illness. The family asks that the diagnosis be hidden because they fear the truth will destroy the patient's hope. The physician must decide whether to disclose the prognosis directly or follow the family's request for nondisclosure.,"Truth can cause immediate distress, but it also enables treatment choices, financial planning, farewells, and symptom decisions. Those benefits usually outweigh temporary protection from bad news. The physician should disclose the diagnosis sensitively while checking how much detail the patient wants.","The diagnosis belongs first to the patient whose body and choices are affected. Hiding material information prevents informed decisions and treats the family as the rightful controller of another adult's life. Unless the patient previously asked not to know, disclosure is required.","A terminal diagnosis makes avoidance tempting because silence can look compassionate. A physician who hides the truth to escape distress abandons honesty. Better practice stays present, speaks plainly without cruelty, and accepts the emotional burden that truthful care creates.","Family protection and clinical trust pull in different directions here. The relatives' fear should not be dismissed, yet the patient depends on an honest relationship with the physician. Preparing a gentle disclosure together protects both connections better than secrecy or confrontation.","McCabe MS et al. (2010), “When the Family Requests Withholding the Diagnosis: Who Owns the Truth?” Journal of Oncology Practice. https://pmc.ncbi.nlm.nih.gov/articles/PMC2835490/"
4,Healthcare,Refusal of a life-saving amputation,"A patient with spreading infection will die without amputation of his leg. He is fully competent, understands this, and refuses, saying he would rather die whole than live dependent. His family begs the surgeon to operate anyway. The surgeon must amputate or accept refusal.","Overriding a competent refusal saves this leg and this life, and teaches every future patient that stated wishes can be set aside when doctors disagree. That loss of trust costs more lives than it saves. Accept the refusal.","His body is not the surgeon's to improve. A competent refusal is binding whatever it costs, and the family's distress, however real, gives them no claim over what is done to him. Do not operate.",Rescue feels like the whole of medicine when a man is dying. But a surgeon who cannot bear to be refused has made the patient's body an extension of his own competence. Restraint is the harder discipline.,"He is not refusing help; he is refusing a particular future. The surgeon can stay with him, treat the pain, and sit with a family who will need somewhere to put their grief. That is still care.","Beauchamp TL & Childress JF (2019), Principles of Biomedical Ethics, 8th ed., Oxford University Press, chapter on respect for autonomy. VERIFY EDITION AND PAGE."
5,Healthcare,Genetic risk disclosure to relatives,A patient learns of an inherited condition that gives close relatives a serious preventable health risk. The patient refuses to tell them and asks the clinician to keep the result private. The clinician must decide whether confidentiality should hold or whether relatives should be warned.,"Preventable serious illness in several relatives can outweigh the harm of a limited confidentiality breach. After strong efforts to persuade the patient, warning those at substantial risk prevents more harm than it causes when effective prevention or early treatment is genuinely available.","Confidentiality is a promise attached to clinical trust, but duties can conflict when silence exposes identifiable people to serious avoidable harm. Disclosure becomes defensible only as an exceptional, minimal breach after persuasion fails, not as routine sharing of family-relevant information.","Familial risk turns loyalty in more than one direction. Rushing to disclose becomes careless with trust, while hiding behind confidentiality can become evasive. Mature judgment presses hard for voluntary sharing and treats breach as a reluctant last resort.",Genetic information links the patient to relatives who may share the same risk. Silence protects one bond while leaving another person unknowingly exposed. Working toward voluntary disclosure preserves trust while still recognizing the relatives' dependence on information they cannot obtain alone.,"Lucassen A, Clarke A. (2021), “In the family: access to, and communication of, familial information in clinical practice,” Human Genetics. https://link.springer.com/article/10.1007/s00439-021-02401-0"
6,Healthcare,Biased diagnostic AI,A hospital uses software that helps identify disease from patient records. Audits show that it performs well overall but misses more cases in one minority group. Leaders must decide whether to keep using it with human review or suspend it until performance is improved.,"Removing a useful tool also causes missed diagnoses, so total diagnostic performance cannot be ignored. Keeping it with mandatory review for the affected group preserves much of its benefit while reducing unequal harm. Suspension is better if that safeguard cannot close the gap.",Patients are entitled to the same standard of diagnostic attention regardless of group membership. A known error pattern cannot be accepted merely because averages look good. Continued use requires a safeguard that gives affected patients an equivalent opportunity for accurate assessment.,"Unequal error rates tempt leaders to hide behind a strong average score. Once they know who is being missed, continuing unchanged says that impressive performance matters more than repair. Responsible use makes correction visible instead of treating bias as acceptable collateral.","Diagnostic mistakes fall repeatedly on patients who cannot repair the system themselves. Human review should follow that group closely, with clinicians responsible for noticing when the tool fails. Continued use is acceptable only if that protection remains genuinely reliable.","Hussain SA, Bresnahan M, Zhuang J. (2024), “The bias algorithm: how AI in healthcare exacerbates ethnic and racial disparities – a scoping review,” Ethnicity & Health. https://pubmed.ncbi.nlm.nih.gov/39488857/"
7,Healthcare,Request for assisted dying,A competent patient with terminal illness has severe suffering despite ongoing treatment and asks a physician for medical help to end life. The practice is legally available under safeguards. The physician must decide whether to participate or continue symptom-focused care without providing life-ending medication.,"When suffering is severe, persistent, and chosen safeguards make coercion unlikely, assisting death can prevent more harm than prolonging an unwanted dying process. On the facts given, participation is favored if alternatives have been discussed and the patient's request remains stable.",A physician's authority to treat does not automatically include permission to intentionally help cause death. Even voluntary suffering has limits on what one person may do to another. The physician should continue palliation and support without providing means for a life-ending act.,"Severe suffering tests what healing means when cure is gone. Automatic refusal can become moral distance, while automatic agreement can reduce healing to relief alone. The physician must face the request directly and decide whether participation fits a humane professional identity.","End-of-life dependence reaches beyond the patient's request. Family pressure, exhaustion, isolation, and untreated symptoms can all shape what choice feels available. If strong support addresses those pressures and the wish remains stable, respecting it may preserve rather than abandon the relationship.","National Academies of Sciences, Engineering, and Medicine (2018), “Physician-Assisted Death: Scanning the Landscape,” Chapter 2. https://www.ncbi.nlm.nih.gov/books/NBK525943/"
8,Healthcare,When a family cannot pay,"A woman needs surgery that her family cannot afford. The hospital can waive the fee, but its charity budget is small and other patients will need it later. Delay makes her condition worse. The surgeon must waive the fee now or hold the funds.","A budget spent on the first person who asks helps fewer people than one spent where each unit of aid buys most. Holding funds is defensible only if a real system for deciding later cases exists; without one, treat her now.",Ability to pay is not a medical fact and cannot decide who receives care that is clinically indicated. A hospital holding funds against hypothetical future patients owes an account to the actual patient in front of it now.,"Money makes it easy to call refusal prudence. Watch whether the surgeon is protecting the fund or protecting himself from a hard conversation, and whether the hospital's stewardship has quietly become a habit of saying no.","She came to this hospital, not to a future one. The people who will need the fund later have no face and no relationship here, while she and her family are already known to this team. Treat her.","Xu K et al. (2003), “Household catastrophic health expenditure: a multicountry analysis,” The Lancet 362(9378). VERIFY LINK."
9,Healthcare,Disability in scarce-bed allocation,A hospital has one intensive care bed for two patients with similar chances of surviving the immediate illness. One has a long-term disability that may reduce independence after recovery. The team must decide whether predicted future quality of life should influence who receives the bed.,"Future health can matter when scarce treatment creates very different amounts of benefit. Yet broad disability labels predict lived wellbeing poorly and risk systematic error. With similar survival prospects, that uncertainty outweighs the claimed gain, so disability should not lower priority.","A disability does not reduce a person's claim to lifesaving treatment. Ranking patients by predicted independence turns equal persons into estimates of desirable lives. Unless the disability directly changes whether treatment can work, it must not count against access to the bed.","Quality-of-life scoring can quietly redefine which lives a hospital admires. Once independence becomes a measure of worth, social preference can masquerade as medicine. A decent hospital resists that drift and keeps scarcity decisions tied directly to whether treatment can work.","A quality score can erase the disabled patient's existing ties, adaptations, and ordinary life. Equal clinical priority better holds that person in view of the team, rather than replacing them with an outsider's prediction about independence and a supposedly diminished future.","Göttert EAF. (2025), “What is fair? Ethical analysis of triage criteria and disability rights during the COVID-19 pandemic and the German legislation,” Journal of Medical Ethics. https://pubmed.ncbi.nlm.nih.gov/37973368/"
10,Healthcare,Kidney allocation by benefit or waiting,"One donor kidney is available for two medically suitable patients. One has waited much longer, while the other is expected to gain more years of healthy kidney function. The transplant team must use a rule giving greater weight either to waiting time or expected benefit.","A transplant that functions longer creates more health from one irreplaceable organ. Expected benefit should carry greater weight when the difference is substantial, while waiting time can break close cases. Giving the kidney where it is likely to work longest preserves benefit.","Years already spent waiting create a claim that cannot be ignored whenever another patient promises more benefit. A legitimate rule must be public, consistent, and protect equal access. Expected outcome may matter, but it cannot erase fair consideration of time already borne.",One donor organ can turn stewardship into obsession with efficiency. A responsible transplant system uses the kidney well without forgetting people who waited under its rules. The better policy resists both mechanical seniority and the arrogance of treating predicted longevity as everything.,"Long waiting changes families and patients through dialysis routines, dependence, and uncertainty. The other patient also has a future at stake. A humane allocation rule keeps those lived burdens visible alongside expected medical benefit instead of treating either side as abstract.","HRSA/OPTN Ethics Committee, “Ethical Principles in the Allocation of Human Organs.” https://www.hrsa.gov/optn/professionals/resources/ethical-considerations/ethical-principles-in-the-allocation-of-human-organs"
